"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 00:00","2017","02","01","00:00","-5.8","","-8.9","","78","","","","36","","4","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 01:00","2017","02","01","01:00","-5.3","","-8.7","","77","","","","1","","3","","","","","","","","-7","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 02:00","2017","02","01","02:00","-5.8","","-9.2","","77","","","","36","","4","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 03:00","2017","02","01","03:00","-5.7","","-9.3","","76","","","","1","","5","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 04:00","2017","02","01","04:00","-5.4","","-9.8","","71","","","","36","","5","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 05:00","2017","02","01","05:00","-5.5","","-9.6","","73","","","","36","","5","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 06:00","2017","02","01","06:00","-5.6","","-9.1","","76","","","","31","","6","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 07:00","2017","02","01","07:00","-6.6","","-8.4","","87","","","","30","","8","","","","","","","","-10","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 08:00","2017","02","01","08:00","-6.7","","-8.6","","87","","","","31","","7","","","","","","","","-10","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 09:00","2017","02","01","09:00","-6.2","","-8.6","","84","","","","30","","7","","","","","","","","-10","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 10:00","2017","02","01","10:00","-5.2","","-8.2","","80","","","","32","","7","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 11:00","2017","02","01","11:00","-4.1","","-7.0","","81","","","","36","","3","","","","","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 12:00","2017","02","01","12:00","-2.5","","-6.4","","75","","","","0","","1","","","","","","","","-3","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 13:00","2017","02","01","13:00","-2.2","","-5.7","","77","","","","9","","3","","","","","","","","-3","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 14:00","2017","02","01","14:00","-1.6","","-5.0","","77","","","","14","","11","","","","","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 15:00","2017","02","01","15:00","-1.4","","-4.5","","79","","","","12","","16","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 16:00","2017","02","01","16:00","-2.5","","-3.3","","94","","","","12","","22","","","","","","","","-9","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 17:00","2017","02","01","17:00","-2.6","","-2.7","","99","","","","13","","24","","","","","","","","-9","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 18:00","2017","02","01","18:00","-2.6","","-2.9","","98","","","","12","","20","","","","","","","","-9","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 19:00","2017","02","01","19:00","-2.5","","-2.6","","99","","","","12","","23","","","","","","","","-9","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 20:00","2017","02","01","20:00","-2.2","","-2.3","","99","","","","13","","21","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 21:00","2017","02","01","21:00","-2.1","","-2.1","","100","","","","11","","12","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 22:00","2017","02","01","22:00","-1.7","","-1.7","","100","","","","32","","5","","","","","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-01 23:00","2017","02","01","23:00","-1.8","","-1.9","","100","","","","29","","9","","","","","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 00:00","2017","02","02","00:00","-2.5","","-2.6","","99","","","","29","","12","","","","","","","","-7","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 01:00","2017","02","02","01:00","-2.5","","-2.9","","97","","","","29","","16","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 02:00","2017","02","02","02:00","-2.6","","-3.1","","96","","","","28","","15","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 03:00","2017","02","02","03:00","-2.6","","-3.2","","95","","","","29","","22","","","","","","","","-9","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 04:00","2017","02","02","04:00","-2.7","","-3.8","","93","","","","29","","19","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 05:00","2017","02","02","05:00","-2.8","","-4.1","","90","","","","29","","15","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 06:00","2017","02","02","06:00","-3.1","","-4.2","","92","","","","27","","10","","","","","","","","-7","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 07:00","2017","02","02","07:00","-3.3","","-5.1","","88","","","","26","","12","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 08:00","2017","02","02","08:00","-3.6","","-6.3","","82","","","","28","","13","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 09:00","2017","02","02","09:00","-2.6","","-6.7","","73","","","","28","","13","","","","","","","","-7","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 10:00","2017","02","02","10:00","-2.4","","-7.0","","71","","","","27","","17","","","","","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 11:00","2017","02","02","11:00","-1.8","","-6.3","","71","","","","28","","14","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 12:00","2017","02","02","12:00","-1.4","","-6.7","","67","","","","27","","13","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 13:00","2017","02","02","13:00","-0.6","","-6.3","","65","","","","29","","16","","","","","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-02-02 14:00","2017","02","02","14:00","-0.4","","-6.8","","62","","","","27","","22","","","","","","","","-6","","NA"
