"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 00:00","2017","01","01","00:00","-1.0","","-4.7","","76","","","","14","","10","","","","","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 01:00","2017","01","01","01:00","0.1","","-2.3","","84","","","","14","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 02:00","2017","01","01","02:00","2.0","","-1.3","","79","","","","15","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 03:00","2017","01","01","03:00","2.5","","-0.7","","79","","","","15","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 04:00","2017","01","01","04:00","2.9","","0.2","","82","","","","15","","17","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 05:00","2017","01","01","05:00","3.3","","1.1","","85","","","","15","","15","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 06:00","2017","01","01","06:00","4.1","","2.3","","89","","","","15","","19","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 07:00","2017","01","01","07:00","4.8","","3.5","","92","","","","15","","23","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 08:00","2017","01","01","08:00","5.4","","4.1","","92","","","","15","","20","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 09:00","2017","01","01","09:00","6.5","","4.6","","88","","","","16","","17","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 10:00","2017","01","01","10:00","6.3","","4.8","","90","","","","16","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 11:00","2017","01","01","11:00","6.4","","5.2","","92","","","","18","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 12:00","2017","01","01","12:00","6.2","","4.7","","90","","","","22","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 13:00","2017","01","01","13:00","6.2","","4.4","","88","","","","25","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 14:00","2017","01","01","14:00","6.0","","2.5","","79","","","","26","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 15:00","2017","01","01","15:00","5.5","","2.1","","79","","","","27","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 16:00","2017","01","01","16:00","5.1","","2.0","","81","","","","26","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 17:00","2017","01","01","17:00","4.5","","2.0","","83","","","","25","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 18:00","2017","01","01","18:00","3.7","","1.2","","84","","","","26","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 19:00","2017","01","01","19:00","2.9","","1.0","","87","","","","26","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 20:00","2017","01","01","20:00","2.8","","0.4","","84","","","","26","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-01-01 21:00","2017","01","01","21:00","2.0","","-0.6","","83","","","","27","","7","","","","","","","","","","NA"
