"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 00:00","2017","08","01","00:00","17.7","","13.0","","74","","","","30","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 01:00","2017","08","01","01:00","19.1","","10.7","","58","","","","25","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 02:00","2017","08","01","02:00","18.3","","10.7","","61","","","","27","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 03:00","2017","08","01","03:00","17.1","","10.6","","65","","","","25","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 04:00","2017","08","01","04:00","17.0","","9.6","","61","","","","26","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 05:00","2017","08","01","05:00","17.1","","9.5","","61","","","","3","","2","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 06:00","2017","08","01","06:00","17.8","","9.8","","59","","","","17","","2","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 07:00","2017","08","01","07:00","19.5","","10.4","","56","","","","23","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 08:00","2017","08","01","08:00","20.6","","11.6","","56","","","","24","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 09:00","2017","08","01","09:00","20.7","","12.8","","60","","","","33","","10","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 10:00","2017","08","01","10:00","20.6","","13.3","","63","","","","11","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 11:00","2017","08","01","11:00","20.9","","14.2","","66","","","","12","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 12:00","2017","08","01","12:00","21.5","","15.5","","69","","","","13","","9","","","","","","26","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 13:00","2017","08","01","13:00","28.2","","15.1","","45","","","","23","","6","","","","","","32","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 14:00","2017","08","01","14:00","27.4","","15.2","","47","","","","23","","8","","","","","","31","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 15:00","2017","08","01","15:00","27.9","","15.1","","46","","","","25","","6","","","","","","32","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 16:00","2017","08","01","16:00","27.6","","15.7","","48","","","","23","","6","","","","","","32","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 17:00","2017","08","01","17:00","26.0","","16.2","","55","","","","23","","7","","","","","","31","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 18:00","2017","08","01","18:00","25.4","","16.4","","57","","","","23","","5","","","","","","30","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 19:00","2017","08","01","19:00","24.1","","16.4","","62","","","","29","","3","","","","","","29","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 20:00","2017","08","01","20:00","22.1","","16.2","","69","","","","","","0","","","","","","27","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 21:00","2017","08","01","21:00","19.4","","16.5","","84","","","","14","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 22:00","2017","08","01","22:00","20.4","","16.1","","76","","","","30","","4","","","","","","25","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-01 23:00","2017","08","01","23:00","19.7","","15.4","","76","","","","31","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-02 00:00","2017","08","02","00:00","18.5","","15.1","","81","","","","31","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-02 01:00","2017","08","02","01:00","18.5","","14.4","","77","","","","28","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-02 02:00","2017","08","02","02:00","17.5","","14.4","","82","","","","30","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-02 03:00","2017","08","02","03:00","16.4","","14.3","","87","","","","31","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-02 04:00","2017","08","02","04:00","15.9","","13.9","","88","","","","31","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-02 05:00","2017","08","02","05:00","15.5","","13.4","","88","","","","30","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-02 06:00","2017","08","02","06:00","18.2","","13.9","","76","","","","32","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-02 07:00","2017","08","02","07:00","18.7","","13.8","","73","","","","30","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-02 08:00","2017","08","02","08:00","19.6","","14.3","","72","","","","8","","1","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-08-02 09:00","2017","08","02","09:00","20.6","","14.6","","69","","","","13","","5","","","","","","","","","","NA"
