"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 00:00","2017","03","01","00:00","0.9","","0.3","","96","","","","13","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 01:00","2017","03","01","01:00","1.4","","0.9","","97","","","","14","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 02:00","2017","03","01","02:00","1.6","","1.4","","99","","","","14","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 03:00","2017","03","01","03:00","1.6","","1.5","","99","","","","15","","15","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 04:00","2017","03","01","04:00","1.7","","1.6","","100","","","","15","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 05:00","2017","03","01","05:00","1.6","","1.6","","100","","","","14","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 06:00","2017","03","01","06:00","2.0","","2.0","","100","","","","14","","15","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 07:00","2017","03","01","07:00","2.2","","2.2","","100","","","","14","","16","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 08:00","2017","03","01","08:00","2.0","","2.0","","100","","","","14","","15","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 09:00","2017","03","01","09:00","2.3","","2.3","","100","","","","14","","14","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 10:00","2017","03","01","10:00","2.3","","2.3","","100","","","","13","","14","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 11:00","2017","03","01","11:00","3.2","","3.1","","100","","","","14","","22","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 12:00","2017","03","01","12:00","3.7","","3.7","","100","","","","14","","27","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 13:00","2017","03","01","13:00","3.6","","3.5","","99","","","","14","","23","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 14:00","2017","03","01","14:00","6.9","","6.7","","99","","","","15","","16","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 15:00","2017","03","01","15:00","8.3","","8.0","","98","","","","17","","14","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 16:00","2017","03","01","16:00","7.5","","7.1","","98","","","","16","","13","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 17:00","2017","03","01","17:00","7.2","","7.0","","98","","","","14","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 18:00","2017","03","01","18:00","6.9","","6.7","","99","","","","18","","17","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 19:00","2017","03","01","19:00","7.4","","7.2","","99","","","","18","","14","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 20:00","2017","03","01","20:00","6.9","","6.7","","99","","","","19","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 21:00","2017","03","01","21:00","6.5","","6.3","","99","","","","21","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 22:00","2017","03","01","22:00","6.6","","6.4","","99","","","","22","","15","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-01 23:00","2017","03","01","23:00","6.8","","6.6","","99","","","","22","","10","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 00:00","2017","03","02","00:00","6.8","","6.6","","98","","","","23","","10","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 01:00","2017","03","02","01:00","6.8","","6.6","","98","","","","23","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 02:00","2017","03","02","02:00","6.7","","6.4","","98","","","","23","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 03:00","2017","03","02","03:00","5.9","","5.7","","99","","","","22","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 04:00","2017","03","02","04:00","6.4","","6.1","","99","","","","22","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 05:00","2017","03","02","05:00","7.0","","6.7","","99","","","","22","","10","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 06:00","2017","03","02","06:00","7.0","","6.8","","98","","","","23","","10","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 07:00","2017","03","02","07:00","5.7","","5.5","","98","","","","12","","15","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 08:00","2017","03","02","08:00","5.8","","5.6","","99","","","","22","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 09:00","2017","03","02","09:00","5.4","","5.2","","98","","","","22","","16","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 10:00","2017","03","02","10:00","5.6","","5.0","","96","","","","22","","17","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-03-02 11:00","2017","03","02","11:00","5.9","","5.2","","95","","","","21","","18","","","","","","","","","","NA"
