"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 00:00","2016","04","01","00:00","8.9","","6.9","","87","","","","22","","13","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 01:00","2016","04","01","01:00","9.9","","7.3","","84","","","","23","","14","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 02:00","2016","04","01","02:00","10.1","","7.5","","84","","","","22","","13","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 03:00","2016","04","01","03:00","9.7","","7.4","","86","","","","22","","19","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 04:00","2016","04","01","04:00","9.7","","7.3","","85","","","","22","","15","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 05:00","2016","04","01","05:00","9.7","","7.8","","88","","","","22","","18","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 06:00","2016","04","01","06:00","10.2","","8.6","","90","","","","23","","18","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 07:00","2016","04","01","07:00","10.0","","8.9","","93","","","","23","","18","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 08:00","2016","04","01","08:00","10.3","","9.2","","93","","","","22","","20","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 09:00","2016","04","01","09:00","10.8","","9.7","","93","","","","23","","26","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 10:00","2016","04","01","10:00","10.3","","9.5","","95","","","","23","","20","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 11:00","2016","04","01","11:00","9.5","","8.8","","96","","","","23","","21","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-04-01 12:00","2016","04","01","12:00","12.4","","11.2","","92","","","","23","","22","","","","","","","","","","NA"
