"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 00:00","2017","05","01","00:00","5.8","","-1.5","","60","","","","14","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 01:00","2017","05","01","01:00","4.9","","1.0","","76","","","","13","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 02:00","2017","05","01","02:00","5.5","","-0.9","","63","","","","13","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 03:00","2017","05","01","03:00","5.6","","-1.1","","62","","","","14","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 04:00","2017","05","01","04:00","4.9","","-2.0","","61","","","","14","","14","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 05:00","2017","05","01","05:00","4.3","","-2.2","","63","","","","13","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 06:00","2017","05","01","06:00","4.1","","-1.6","","66","","","","14","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 07:00","2017","05","01","07:00","4.1","","-0.7","","71","","","","13","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 08:00","2017","05","01","08:00","4.6","","-1.5","","64","","","","16","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 09:00","2017","05","01","09:00","4.1","","0.5","","78","","","","14","","15","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 10:00","2017","05","01","10:00","4.1","","0.4","","77","","","","12","","15","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 11:00","2017","05","01","11:00","4.3","","-0.2","","73","","","","15","","16","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 12:00","2017","05","01","12:00","3.9","","-0.6","","73","","","","15","","16","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 13:00","2017","05","01","13:00","3.1","","0.3","","82","","","","13","","23","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 14:00","2017","05","01","14:00","3.3","","0.6","","83","","","","12","","18","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 15:00","2017","05","01","15:00","2.8","","1.3","","90","","","","12","","21","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 16:00","2017","05","01","16:00","2.3","","1.2","","93","","","","12","","20","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 17:00","2017","05","01","17:00","2.3","","1.3","","94","","","","12","","26","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 18:00","2017","05","01","18:00","2.4","","1.4","","94","","","","12","","23","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 19:00","2017","05","01","19:00","2.5","","1.7","","95","","","","12","","23","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 20:00","2017","05","01","20:00","2.6","","1.9","","95","","","","13","","26","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 21:00","2017","05","01","21:00","2.8","","2.2","","96","","","","13","","28","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 22:00","2017","05","01","22:00","3.0","","2.5","","96","","","","13","","32","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-05-01 23:00","2017","05","01","23:00","3.1","","2.6","","97","","","","13","","29","","","","","","","","","","NA"
