"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 00:00","2017","12","01","00:00","3.4","","-0.3","","77","","","","18","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 01:00","2017","12","01","01:00","4.2","","0.2","","75","","","","16","","14","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 02:00","2017","12","01","02:00","4.6","","0.7","","76","","","","16","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 03:00","2017","12","01","03:00","5.2","","1.4","","76","","","","17","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 04:00","2017","12","01","04:00","6.2","","2.5","","77","","","","14","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 05:00","2017","12","01","05:00","6.9","","2.9","","76","","","","15","","13","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 06:00","2017","12","01","06:00","7.9","","4.5","","79","","","","14","","21","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 07:00","2017","12","01","07:00","8.7","","5.1","","78","","","","14","","18","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 08:00","2017","12","01","08:00","8.4","","6.1","","86","","","","14","","25","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 09:00","2017","12","01","09:00","8.9","","6.5","","85","","","","14","","25","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 10:00","2017","12","01","10:00","9.3","","6.9","","85","","","","14","","23","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 11:00","2017","12","01","11:00","8.9","","7.5","","91","","","","14","","19","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-12-01 12:00","2017","12","01","12:00","8.9","","7.3","","89","","","","14","","14","","","","","","","","","","NA"
