"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 00:00","2016","08","01","00:00"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 01:00","2016","08","01","01:00","19.5","","14.2","","72","","","","36","","1","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 02:00","2016","08","01","02:00","18.9","","14.5","","76","","","","0","","1","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 03:00","2016","08","01","03:00","18.2","","15.1","","82","","","","0","","1","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 04:00","2016","08","01","04:00","17.6","","14.5","","82","","","","0","","1","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 05:00","2016","08","01","05:00","17.0","","14.3","","84","","","","0","","1","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 06:00","2016","08","01","06:00","18.3","","14.1","","76","","","","0","","1","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 07:00","2016","08","01","07:00","19.8","","13.9","","69","","","","23","","1","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 08:00","2016","08","01","08:00","22.1","","14.3","","61","","","","20","","2","","","","","","26","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 09:00","2016","08","01","09:00","23.7","","14.1","","55","","","","30","","1","","","","","","27","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-08-01 10:00","2016","08","01","10:00","24.7","","13.5","","50","","","","16","","4","","","","","","28","","","","NA"
