"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 00:00","2016","10","01","00:00","10.3","","8.3","","88","","","","32","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 01:00","2016","10","01","01:00","9.9","","8.1","","88","","","","31","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 02:00","2016","10","01","02:00","9.9","","8.0","","89","","","","30","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 03:00","2016","10","01","03:00","9.4","","7.9","","90","","","","29","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 04:00","2016","10","01","04:00","9.0","","7.6","","91","","","","27","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 05:00","2016","10","01","05:00","8.9","","7.4","","91","","","","32","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 06:00","2016","10","01","06:00","8.8","","7.3","","91","","","","27","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 07:00","2016","10","01","07:00","9.1","","7.3","","89","","","","27","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 08:00","2016","10","01","08:00","9.8","","8.0","","88","","","","31","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 09:00","2016","10","01","09:00","11.8","","7.8","","76","","","","30","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 10:00","2016","10","01","10:00","14.5","","8.9","","69","","","","32","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 11:00","2016","10","01","11:00","15.6","","2.8","","42","","","","34","","2","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 12:00","2016","10","01","12:00","15.4","","6.2","","54","","","","13","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 13:00","2016","10","01","13:00","15.3","","9.4","","68","","","","14","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 14:00","2016","10","01","14:00","15.5","","8.9","","65","","","","14","","13","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 15:00","2016","10","01","15:00","15.4","","8.6","","64","","","","14","","14","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 16:00","2016","10","01","16:00","15.3","","8.6","","64","","","","14","","16","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 17:00","2016","10","01","17:00","15.1","","9.3","","68","","","","14","","15","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 18:00","2016","10","01","18:00","15.3","","9.0","","66","","","","18","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 19:00","2016","10","01","19:00","14.8","","9.8","","72","","","","20","","2","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 20:00","2016","10","01","20:00","14.8","","9.3","","70","","","","20","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 21:00","2016","10","01","21:00","14.6","","9.9","","74","","","","13","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 22:00","2016","10","01","22:00","14.3","","10.7","","79","","","","6","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-01 23:00","2016","10","01","23:00","14.0","","11.1","","83","","","","34","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 00:00","2016","10","02","00:00","13.7","","11.0","","84","","","","35","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 01:00","2016","10","02","01:00","13.4","","11.2","","87","","","","30","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 02:00","2016","10","02","02:00","13.4","","11.3","","87","","","","35","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 03:00","2016","10","02","03:00","13.0","","11.2","","89","","","","33","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 04:00","2016","10","02","04:00","13.2","","10.9","","86","","","","35","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 05:00","2016","10","02","05:00","13.3","","11.1","","86","","","","6","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 06:00","2016","10","02","06:00","13.1","","10.8","","86","","","","35","","2","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 07:00","2016","10","02","07:00","12.9","","10.9","","88","","","","1","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 08:00","2016","10","02","08:00","12.8","","11.4","","91","","","","32","","2","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 09:00","2016","10","02","09:00","13.0","","11.9","","93","","","","33","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 10:00","2016","10","02","10:00","13.4","","12.2","","92","","","","","","0","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 11:00","2016","10","02","11:00","13.8","","12.7","","93","","","","33","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 12:00","2016","10","02","12:00","13.8","","11.6","","87","","","","9","","10","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 13:00","2016","10","02","13:00","13.7","","12.4","","92","","","","8","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 14:00","2016","10","02","14:00","13.6","","12.0","","90","","","","9","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 15:00","2016","10","02","15:00","13.4","","12.5","","94","","","","4","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 16:00","2016","10","02","16:00","13.4","","12.2","","92","","","","7","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 17:00","2016","10","02","17:00","13.2","","12.4","","95","","","","1","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 18:00","2016","10","02","18:00","13.3","","12.4","","94","","","","10","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 19:00","2016","10","02","19:00","13.7","","12.6","","93","","","","11","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 20:00","2016","10","02","20:00","13.9","","12.2","","90","","","","7","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 21:00","2016","10","02","21:00","13.6","","12.2","","91","","","","36","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 22:00","2016","10","02","22:00","12.3","","11.4","","94","","","","29","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-02 23:00","2016","10","02","23:00","12.0","","11.0","","94","","","","27","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-03 00:00","2016","10","03","00:00","12.1","","11.1","","94","","","","32","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-03 01:00","2016","10","03","01:00","12.2","","11.2","","94","","","","30","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-03 02:00","2016","10","03","02:00","12.3","","11.4","","94","","","","30","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-03 03:00","2016","10","03","03:00","12.2","","11.6","","96","","","","30","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-03 04:00","2016","10","03","04:00","12.2","","11.6","","96","","","","30","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-03 05:00","2016","10","03","05:00","12.4","","11.8","","96","","","","29","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-03 06:00","2016","10","03","06:00","12.8","","11.6","","92","","","","28","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-10-03 07:00","2016","10","03","07:00","12.8","","11.0","","89","","","","28","","7","","","","","","","","","","NA"
