"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 00:00","2017","04","01","00:00","-1.7","","-4.4","","81","","","","35","","19","","","","","","","","-7","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 01:00","2017","04","01","01:00","-1.5","","-4.4","","81","","","","36","","13","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 02:00","2017","04","01","02:00","-1.6","","-4.5","","81","","","","35","","13","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 03:00","2017","04","01","03:00","-1.8","","-4.3","","83","","","","34","","11","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 04:00","2017","04","01","04:00","-2.1","","-4.7","","83","","","","33","","10","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 05:00","2017","04","01","05:00","-2.2","","-4.7","","83","","","","32","","10","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 06:00","2017","04","01","06:00","-2.2","","-4.4","","85","","","","34","","13","","","","","","","","-7","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 07:00","2017","04","01","07:00","-2.1","","-5.1","","80","","","","33","","11","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 08:00","2017","04","01","08:00","-1.7","","-5.5","","75","","","","1","","13","","","","","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 09:00","2017","04","01","09:00","0.1","","-5.3","","67","","","","3","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 10:00","2017","04","01","10:00","1.6","","-6.3","","56","","","","4","","19","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 11:00","2017","04","01","11:00","2.4","","-5.8","","54","","","","5","","14","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 12:00","2017","04","01","12:00","3.4","","-5.6","","52","","","","8","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 13:00","2017","04","01","13:00","3.2","","-4.7","","56","","","","14","","16","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 14:00","2017","04","01","14:00","2.4","","-4.2","","62","","","","15","","23","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 15:00","2017","04","01","15:00","1.5","","-2.7","","74","","","","14","","20","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 16:00","2017","04","01","16:00","1.3","","-3.1","","72","","","","12","","22","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 17:00","2017","04","01","17:00","0.7","","-3.8","","72","","","","11","","25","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 18:00","2017","04","01","18:00","0.4","","-3.2","","77","","","","11","","24","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 19:00","2017","04","01","19:00","0.1","","-2.9","","80","","","","10","","20","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 20:00","2017","04","01","20:00","0.0","","-2.7","","82","","","","10","","19","","","","","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2017-04-01 21:00","2017","04","01","21:00","-0.1","","-3.0","","81","","","","8","","17","","","","","","","","-5","","NA"
