"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 00:00","2016","02","01","00:00","4.3","","3.3","","94","","","","24","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 01:00","2016","02","01","01:00","3.5","","3.0","","96","","","","21","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 02:00","2016","02","01","02:00","3.4","","3.0","","97","","","","23","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 03:00","2016","02","01","03:00","3.2","","2.8","","98","","","","24","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 04:00","2016","02","01","04:00","3.1","","2.7","","98","","","","24","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 05:00","2016","02","01","05:00","2.7","","2.5","","99","","","","0","","1","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 06:00","2016","02","01","06:00","2.6","","2.4","","99","","","","14","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 07:00","2016","02","01","07:00","2.7","","2.7","","100","","","","14","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 08:00","2016","02","01","08:00","3.2","","3.2","","100","","","","14","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 09:00","2016","02","01","09:00","3.9","","3.9","","100","","","","13","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 10:00","2016","02","01","10:00","6.2","","5.2","","93","","","","16","","10","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 11:00","2016","02","01","11:00","7.2","","6.7","","97","","","","22","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 12:00","2016","02","01","12:00","7.3","","6.6","","95","","","","23","","20","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 13:00","2016","02","01","13:00","7.2","","6.2","","94","","","","23","","16","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 14:00","2016","02","01","14:00","7.4","","6.1","","92","","","","22","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 15:00","2016","02","01","15:00","7.4","","5.8","","90","","","","22","","16","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 16:00","2016","02","01","16:00","7.5","","5.8","","89","","","","23","","21","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 17:00","2016","02","01","17:00","6.8","","5.2","","89","","","","23","","21","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 18:00","2016","02","01","18:00","6.2","","4.5","","89","","","","23","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 19:00","2016","02","01","19:00","6.9","","4.5","","85","","","","24","","17","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 20:00","2016","02","01","20:00","6.6","","4.4","","86","","","","25","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 21:00","2016","02","01","21:00","7.5","","4.5","","82","","","","25","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 22:00","2016","02","01","22:00","7.1","","4.0","","81","","","","24","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-01 23:00","2016","02","01","23:00","6.8","","0.8","","65","","","","27","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-02 00:00","2016","02","02","00:00","5.7","","-0.6","","64","","","","27","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-02 01:00","2016","02","02","01:00","5.0","","-1.3","","64","","","","27","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-02-02 02:00","2016","02","02","02:00","4.5","","-1.7","","64","","","","27","","3","","","","","","","","","","NA"
