"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 00:00","2016","05","01","00:00","3.6","","1.4","","85","","","","13","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 01:00","2016","05","01","01:00","3.1","","1.6","","90","","","","13","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 02:00","2016","05","01","02:00","3.5","","0.9","","83","","","","13","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 03:00","2016","05","01","03:00","3.2","","0.7","","83","","","","31","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 04:00","2016","05","01","04:00","2.4","","0.1","","85","","","","31","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 05:00","2016","05","01","05:00","2.3","","0.0","","85","","","","29","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 06:00","2016","05","01","06:00","4.6","","0.8","","77","","","","31","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 07:00","2016","05","01","07:00","5.9","","0.8","","70","","","","30","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 08:00","2016","05","01","08:00","6.2","","1.2","","70","","","","12","","4","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 09:00","2016","05","01","09:00","6.3","","2.4","","76","","","","14","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 10:00","2016","05","01","10:00","6.9","","2.0","","71","","","","14","","16","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 11:00","2016","05","01","11:00","6.0","","1.6","","73","","","","14","","21","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 12:00","2016","05","01","12:00","7.5","","0.5","","61","","","","14","","23","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 13:00","2016","05","01","13:00","9.5","","-0.4","","50","","","","14","","18","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 14:00","2016","05","01","14:00","13.2","","-6.6","","25","","","","21","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 15:00","2016","05","01","15:00","12.6","","-7.9","","23","","","","18","","13","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 16:00","2016","05","01","16:00","11.9","","-7.7","","25","","","","19","","10","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 17:00","2016","05","01","17:00","11.8","","-7.8","","25","","","","21","","8","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 18:00","2016","05","01","18:00","10.0","","-8.8","","26","","","","23","","7","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 19:00","2016","05","01","19:00","8.3","","-7.2","","32","","","","23","","13","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 20:00","2016","05","01","20:00","7.7","","-4.4","","42","","","","17","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 21:00","2016","05","01","21:00","6.6","","-1.4","","57","","","","12","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 22:00","2016","05","01","22:00","5.2","","1.9","","80","","","","13","","13","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-01 23:00","2016","05","01","23:00","5.1","","2.3","","82","","","","13","","13","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-02 00:00","2016","05","02","00:00","5.0","","2.3","","83","","","","13","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-02 01:00","2016","05","02","01:00","4.8","","2.6","","85","","","","13","","10","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-02 02:00","2016","05","02","02:00","5.1","","1.4","","77","","","","13","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-05-02 03:00","2016","05","02","03:00","5.9","","1.7","","74","","","","13","","2","","","","","","","","","","NA"
